track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
4c4TCbToFf6X8CncWJuHa3,She's a Lover,Red Hot Chili Peppers,Unlimited Love,221092,57,False
0PEogXgSTxYjiL9oltS2Oc,Citizen Erased,Muse,Origin of Symmetry,441093,39,False
0GGfGINoVYiSFXPOjg3RHj,Found (feat. Brent Faiyaz),"Tems, Brent Faiyaz",Found (feat. Brent Faiyaz),209454,69,False
21Xc8hEIzv81jwiftI4hJB,The First Taste,Fiona Apple,Tidal,286960,58,False
3jy0VPEpbkIrNWf0HHEyDa,Vocales de amor,Joan Soriano,El Duque de la Bachata,310613,48,False
1MhSd5tH31uW1VaZR01oxF,The Robot With Human Hair pt. 1,Dance Gavin Dance,Whatever I Say Is Royal Ocean,254293,35,False
4UvkQecqZuZfQIJ2DZrZcR,Doomsday (with Juice WRLD & Cordae),"Lyrical Lemonade, Juice WRLD, Cordae",All Is Yellow,150967,65,True
0jij5hQGegNdleEAoXKHmx,Man Of The Year,Dance Gavin Dance,Mothership,334400,47,False
1bBAdiS3gPVB3qQKTf20q8,Buscándola,Maná,Falta Amor,245600,54,False
4HW5kSQ8M2IQWZhSxERvla,Spice Girl,Aminé,Good For You,173946,61,True
2kS6td1yvmpNgZTt1q5pQq,Hayloft,Mother Mother,O My Heart,181680,31,False
2qhwi3NhtDBidqgf1351HJ,Dissonance,Surely Tempo,"Days So Bitter, Yet So Sweet",158000,48,False
37NFt4wrkwtwzaB9pa33AJ,Gustándonos,Odisseo,Gustándonos,188655,30,False
26w9NTiE9NGjW1ZvIOd1So,BOOKER T,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,156430,73,True
6GsP3uMCd0Dn5T37C93waZ,Sick Love,Red Hot Chili Peppers,The Getaway,221440,66,False
3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,Is This It,193373,68,False
7LSCNf8JdikmxM59iT1Cr4,Arriesgando El Corazón,Aleks Syntek,Mundo Lite,292200,20,False
39UIXeyE7ocwdpA7PWJYDo,Traviesa,"Raymix, Horacio Palencia, Aczino",Te Voy A Conquistar,159560,38,False
5O612Iau2nHDR3yv8jAFXs,Respiro (Cap. 8),"Siddhartha, Ximena Sariñana",MEMORIA FUTURO,221390,62,False
6O3D5ai8UmEHwyicBq07pk,Cámara De Faltas,Enjambre,Enjambre Y Los Huéspedes Del Orbe,223440,60,False
2m9dpUx3PkIOa2LPfDbSA8,Son of Robot,Dance Gavin Dance,Artificial Selection,238984,52,False
6MtKObWYda2qnNIpJI21uD,Pursuit Of Happiness (Nightmare),"Kid Cudi, MGMT, Ratatat",Man On The Moon: The End Of Day (Deluxe),295293,71,True
7hoQEkOJojMIm93o0upvxx,FTW (F**k The World) [with A$AP Rocky & Tom Morello],"A$AP Rocky, Tom Morello",FTW (F**k The World) [with A$AP Rocky & Tom Morello] [From Bright: The Album],143413,27,True
12UgxYOGvFcuFlIf95vEGr,Stop Giving Me Advice (with Jack Harlow & Dave),"Lyrical Lemonade, Jack Harlow, Dave",All Is Yellow,242453,62,True
1V8XneTrX6kKeoxYbk4x6h,Hablamos Mañana,"Bad Bunny, Duki, Pablo Chill-E",YHLQMDLG,240253,70,False
2rBHnIxbhkMGLpqmsNX91M,Bombtrack,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),243453,67,True
5Ty1B6gHqh0joQx6ChbxiH,Snakecharmer,Rage Against The Machine,Evil Empire,235400,46,True
0mwPE0lPOgnWf2bo14xedJ,Fuego,Juanes,Mis Planes Son Amarte,167453,52,False
5EiOsZGd2b8Jtw0BkEIOnW,Distantes,Technicolor Fabrics,Presente,261783,25,False
5iuIqHnNiExEkoP9SIWuBw,Tora Joe,"Minyo Crusaders, Frente Cumbiero",Tora Joe,267534,23,False
5gRcv46AMTrosmTOqrOV3Q,Dumb,Nirvana,In Utero,151893,78,False
0KoBrntyQ2x6Y1eZwgGe5P,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)","Don Toliver, 21 Savage, 2 Chainz",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),234693,67,False
4Q6xWGX1w5HNxQgJ7F8Jtf,Veneno,Juanes,Vida Cotidiana (Deluxe Version),189293,30,True
5NMDyiJyDwyBW29WliMsV5,Two Secret Weapons,Dance Gavin Dance,Jackpot Juicer,210291,43,True
6C7ZgThn6Yan5MTZdAEEFw,Mama Said Knock You Out,LL COOL J,Mama Said Knock You Out,289693,63,True
1jaQ4o6VRWRPxzf560sMWZ,Admirador,Odisseo,Admirador,212133,33,False
3u1EbJI2d0we5F9Rh1Sb38,Ojalá,Juanes,Vida Cotidiana (Deluxe Version),193373,31,False
6NwcZFwPt3CDWGo3hFWf3D,Te Lo Advertí,Los Mesoneros,Pangea,213293,55,False
6luBKkFUt5wTwz7hpLhp12,drive ME crazy!,Lil Yachty,Let’s Start Here.,229804,75,True
1fBnzFTxI1wqtU0ZR1pxrf,C'mere,Interpol,Antics,192493,63,False
3CCf4QWbFngXoIO1cLTj1L,The Ghost of Tom Joad,Rage Against The Machine,Renegades,338333,51,False
3fkPMWQ6cBNBLuFcPyMS8s,Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,271000,67,False
4FdlNCxdyXOXKIZNKcIqAs,"Fly Away (with Sheck Wes, Ski Mask The Slump God & JID)","Lyrical Lemonade, Sheck Wes, Ski Mask The Slump God, JID",All Is Yellow,185538,63,True
5hd0Wm1LuAvo3msLCvqvA6,Down,311,Greatest Hits '93 - '03,170973,37,False
0RPLQ0S48GhCE0x1rPqFAw,Dark Out,"Global Dan, Global AzN",Global Meltdown,180080,44,True
0lsDJ0EkccufmSM43P28TQ,Pistol Grip Pump,Rage Against The Machine,Renegades,196733,56,True
2BTH9RKzclcO36gS09cLjy,No Rainy Days,Lil Skies,Shelby,175882,42,True
7wTA0NKIm6T7nP2kaymU2a,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),"Dreamville, EARTHGANG, J. Cole, Smino, Saba",Revenge Of The Dreamers III,382306,67,True
59GQi5m1s6ahWUIY1C4qh1,Elemento,Enjambre,Enjambre Y Los Huéspedes Del Orbe,206960,62,False
0xWjrm5J1Gn6DEECqAG0uo,A Todos Los Rumberos,"Los Ángeles Azules, Santana, Panteon Rococo",A Todos Los Rumberos,269653,36,False
